model_label,model_code,ref_label,ref_percent,bps_name
10150_2_3_4_E,10150_2_3_4,E,NA,California Coastal Redwood Forest
10150_2_3_4_Agriculture,10150_2_3_4,Agriculture,0,California Coastal Redwood Forest
10150_2_3_4_Developed,10150_2_3_4,Developed,0,California Coastal Redwood Forest
10150_2_3_4_Water,10150_2_3_4,Water,0,California Coastal Redwood Forest
10150_2_3_4_UN,10150_2_3_4,UN,0,California Coastal Redwood Forest
10150_2_3_4_UE,10150_2_3_4,UE,0,California Coastal Redwood Forest
10160_13_14_A,10160_13_14,A,2,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_B,10160_13_14,B,7,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_C,10160_13_14,C,27,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_D,10160_13_14,D,64,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_E,10160_13_14,E,NA,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_Agriculture,10160_13_14,Agriculture,0,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_Developed,10160_13_14,Developed,0,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_Water,10160_13_14,Water,0,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_UN,10160_13_14,UN,0,Colorado Plateau Pinyon-Juniper Woodland
10160_13_14_UE,10160_13_14,UE,0,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_A,10160_15_28,A,10,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_B,10160_15_28,B,21,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_C,10160_15_28,C,25,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_D,10160_15_28,D,34,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_E,10160_15_28,E,10,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_Agriculture,10160_15_28,Agriculture,0,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_Developed,10160_15_28,Developed,0,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_Water,10160_15_28,Water,0,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_UN,10160_15_28,UN,0,Colorado Plateau Pinyon-Juniper Woodland
10160_15_28_UE,10160_15_28,UE,0,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_A,10160_16_23_24_25,A,9,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_B,10160_16_23_24_25,B,21,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_C,10160_16_23_24_25,C,24,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_D,10160_16_23_24_25,D,38,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_E,10160_16_23_24_25,E,8,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_Agriculture,10160_16_23_24_25,Agriculture,0,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_Developed,10160_16_23_24_25,Developed,0,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_Water,10160_16_23_24_25,Water,0,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_UN,10160_16_23_24_25,UN,0,Colorado Plateau Pinyon-Juniper Woodland
10160_16_23_24_25_UE,10160_16_23_24_25,UE,0,Colorado Plateau Pinyon-Juniper Woodland
10160_17_A,10160_17,A,9,Colorado Plateau Pinyon-Juniper Woodland
10160_17_B,10160_17,B,21,Colorado Plateau Pinyon-Juniper Woodland
10160_17_C,10160_17,C,24,Colorado Plateau Pinyon-Juniper Woodland
10160_17_D,10160_17,D,38,Colorado Plateau Pinyon-Juniper Woodland
10160_17_E,10160_17,E,8,Colorado Plateau Pinyon-Juniper Woodland
10160_17_Agriculture,10160_17,Agriculture,0,Colorado Plateau Pinyon-Juniper Woodland
10160_17_Developed,10160_17,Developed,0,Colorado Plateau Pinyon-Juniper Woodland
10160_17_Water,10160_17,Water,0,Colorado Plateau Pinyon-Juniper Woodland
10160_17_UN,10160_17,UN,0,Colorado Plateau Pinyon-Juniper Woodland
10160_17_UE,10160_17,UE,0,Colorado Plateau Pinyon-Juniper Woodland
10160_22_A,10160_22,A,6,Colorado Plateau Pinyon-Juniper Woodland
10160_22_B,10160_22,B,27,Colorado Plateau Pinyon-Juniper Woodland
10160_22_C,10160_22,C,67,Colorado Plateau Pinyon-Juniper Woodland
10160_22_D,10160_22,D,NA,Colorado Plateau Pinyon-Juniper Woodland
10160_22_E,10160_22,E,NA,Colorado Plateau Pinyon-Juniper Woodland
10160_22_Agriculture,10160_22,Agriculture,0,Colorado Plateau Pinyon-Juniper Woodland
10160_22_Developed,10160_22,Developed,0,Colorado Plateau Pinyon-Juniper Woodland
10160_22_Water,10160_22,Water,0,Colorado Plateau Pinyon-Juniper Woodland
10160_22_UN,10160_22,UN,0,Colorado Plateau Pinyon-Juniper Woodland
10160_22_UE,10160_22,UE,0,Colorado Plateau Pinyon-Juniper Woodland
10170_6_7_8_9_12_18_A,10170_6_7_8_9_12_18,A,2,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_B,10170_6_7_8_9_12_18,B,7,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_C,10170_6_7_8_9_12_18,C,18,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_D,10170_6_7_8_9_12_18,D,43,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_E,10170_6_7_8_9_12_18,E,30,Columbia Plateau Western Juniper Woodland and Savanna
