BpS_Name,Model_Code
Southern Rocky Mountain Pinyon-Juniper Woodland,10590_24_28
Southern Rocky Mountain Pinyon-Juniper Woodland,10590_25
Southern Rocky Mountain Pinyon-Juniper Woodland,10590_26
Southern Rocky Mountain Pinyon-Juniper Woodland,10590_27_33
East Cascades Oak-Ponderosa Pine Forest and Woodland,10600_1_2_7
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_13
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_15_25
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_18
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_20_29
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_22_27_28
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_6
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_8_9_17
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,10611_16_23_24
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation,10612_16_23
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_10_19_21_29_31
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_13
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_16_23
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_22_28
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_6_12_17_18
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_7_9
North Pacific Broadleaf Landslide Forest and Shrubland,10630_1
North Pacific Broadleaf Landslide Forest and Shrubland,10630_2_7
Colorado Plateau Mixed Low Sagebrush Shrubland,10640_15_16_17_23_24_27_28
Columbia Plateau Scabland Shrubland,10650_1_8_9_10
Inter-Mountain Basins Mat Saltbush Shrubland,10660_16_23_24
Inter-Mountain Basins Mat Saltbush Shrubland,10660_22
Inter-Mountain Basins Mat Saltbush Shrubland,10660_29
Mediterranean California Alpine Fell-Field,10670_6
North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,10680_1_7
Rocky Mountain Alpine Dwarf-Shrubland,10700_10_19_28
Rocky Mountain Alpine Dwarf-Shrubland,10700_16
Rocky Mountain Alpine Dwarf-Shrubland,10700_21
Sierra Nevada Alpine Dwarf-Shrubland,10710_6
Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,10720_22_29
Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,10720_28
Chihuahuan Creosotebush Desert Scrub,10740_25_26
Chihuahuan Mixed Salt Desert Scrub,10750_25
Chihuahuan Mixed Salt Desert Scrub,10750_26
Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,10760_25
Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,10760_26
Chihuahuan Succulent Desert Scrub,10770_15
Chihuahuan Succulent Desert Scrub,10770_25_26
Colorado Plateau Blackbrush-Mormon-tea Shrubland,10780_15
Colorado Plateau Blackbrush-Mormon-tea Shrubland,10780_16_23_24_25
Great Basin Xeric Mixed Sagebrush Shrubland,10790_13
Great Basin Xeric Mixed Sagebrush Shrubland,10790_6_9_10_12_16_17_18
Inter-Mountain Basins Big Sagebrush Shrubland,10800_1_7_8_9
Inter-Mountain Basins Big Sagebrush Shrubland,10800_10_19
Inter-Mountain Basins Big Sagebrush Shrubland,10800_13_14
Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush,10801_21_22_28
Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush,10802_21_22_28
Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert,10803_6_12_15_16_17_18_23_24_25
Inter-Mountain Basins Big Sagebrush Shrubland - Upland,10804_6_12_15_16_17_18_23_24_25
Inter-Mountain Basins Mixed Salt Desert Scrub,10810_15_16_23_24_28
Inter-Mountain Basins Mixed Salt Desert Scrub,10810_18_19_21
Inter-Mountain Basins Mixed Salt Desert Scrub,10810_22
Inter-Mountain Basins Mixed Salt Desert Scrub,10810_27_33
Inter-Mountain Basins Mixed Salt Desert Scrub,10810_6_12_13_17
Inter-Mountain Basins Mixed Salt Desert Scrub,10810_7_8_9
Mojave Mid-Elevation Mixed Desert Scrub,10820_12_15_16_17_23_24
Mojave Mid-Elevation Mixed Desert Scrub,10820_14
