VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
2341,16310,72,16310_72,Western North American Boreal Alpine Dwarf-Shrub Summit,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,204,216,204,0.8,0.847059,0.8
2342,16380,72,16380_72,Alaska Arctic Mesic Alder Shrubland,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,175,56,28,0.686275,0.219608,0.109804
2343,16390,72,16390_72,Alaska Arctic Mesic-Wet Willow Shrubland,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,204,175,147,0.8,0.686275,0.576471
2344,16530,77,16530_77,Alaskan Pacific Maritime Mesic Herbaceous Meadow,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,249,204,1,0.976471,0.8
2345,16822,72,16822_72,Alaska Arctic Scrub Birch-Ericaceous Shrubland-Frequent Fire,Shrubland,252,-9999,-9999,252,100,-9999,-9999,V-A,242,221,178,0.94902,0.866667,0.698039
2346,16830,72,16830_72,Alaska Arctic Mesic Sedge-Willow Tundra,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.74902,0.74902,0.74902
2347,16850,72,16850_72,Alaska Arctic Acidic Sparse Tundra,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,229,229,249,0.898039,0.898039,0.976471
2348,16870,72,16870_72,Alaska Arctic Lichen Tundra,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,193,183,232,0.756863,0.717647,0.909804
2349,16880,72,16880_72,Alaska Arctic Acidic Dryas Dwarf-Shrubland,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,237,216,173,0.929412,0.847059,0.678431
2350,16901,72,16901_72,Alaska Arctic Dwarf-Shrubland-Frequent Fire,Shrubland,249,-9999,-9999,249,100,-9999,-9999,V-A,237,193,145,0.929412,0.756863,0.568627
2351,16941,72,16941_72,Alaska Arctic Tussock Tundra-Frequent Fire,Grassland,255,-9999,-9999,255,100,-9999,-9999,V-A,191,216,216,0.74902,0.847059,0.847059
2352,16970,72,16970_72,Alaska Arctic Pendantgrass Freshwater Marsh,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,204,204,0,0.8,0.8
2353,16980,72,16980_72,Alaska Arctic Wet Sedge Meadow,Peatland non-forest,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,193,255,193,0.756863,1,0.756863
