TransitionGroupID,Model_Code,mean_amount,annual_probability,BpS_Name
Non Replacement Fire,10310_2_3_4_5_6_12,101.76,0.10176,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
Non Replacement Fire,10310_7,47.2924,0.0472924,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
Non Replacement Fire,10320_2_3_7,35.1382,0.0351382,Mediterranean California Red Fir Forest
Non Replacement Fire,10321_6,22.373,0.022373,Mediterranean California Red Fir Forest - Cascades
Non Replacement Fire,10322_6,15.7258,0.0157258,Mediterranean California Red Fir Forest - Southern Sierra
Non Replacement Fire,10330_12,12.8652,0.0128652,Mediterranean California Subalpine Woodland
Non Replacement Fire,10330_3_6_7,1.7632,0.0017632,Mediterranean California Subalpine Woodland
Non Replacement Fire,10340_4_6_7,9.2972,0.0092972,Mediterranean California Mesic Serpentine Woodland and Chaparral
Non Replacement Fire,10350_1_2_7,25.1562,0.0251562,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland
Non Replacement Fire,10370_1_2_7,9.388,0.009388,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest
Non Replacement Fire,10411_1_7,0.1938,0.0001938,North Pacific Mountain Hemlock Forest - Wet
Non Replacement Fire,10412_1_7,2.6348,0.0026348,North Pacific Mountain Hemlock Forest - Xeric
Non Replacement Fire,10420_1_7,0.579,0.000579,North Pacific Mesic Western Hemlock-Silver Fir Forest
Non Replacement Fire,10430_5,107.8808,0.1078808,Mediterranean California Mixed Evergreen Forest
Non Replacement Fire,10431_2_3_6_7,63.977,0.063977,Mediterranean California Mixed Evergreen Forest - Interior
Non Replacement Fire,10432_2_3,20.7036,0.0207036,Mediterranean California Mixed Evergreen Forest - Coastal
Non Replacement Fire,10440_3_6_7,1.082,0.001082,Northern California Mesic Subalpine Woodland
Non Replacement Fire,10450_1_7_8_9,40.4914,0.0404914,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Non Replacement Fire,10450_21,12.8576,0.0128576,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Non Replacement Fire,10451_10_19,45.0204,0.0450204,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
Non Replacement Fire,10451_20,42.8858,0.0428858,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
Non Replacement Fire,10452_10_19,22.178,0.022178,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
Non Replacement Fire,10453_10_19,9.44,0.00944,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
Non Replacement Fire,10454_20,6.1526,0.0061526,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine
Non Replacement Fire,10460_1_7_9,13.0716,0.0130716,Northern Rocky Mountain Subalpine Woodland and Parkland
Non Replacement Fire,10460_10_19_20,2.9322,0.0029322,Northern Rocky Mountain Subalpine Woodland and Parkland
Non Replacement Fire,10460_18,20.1228,0.0201228,Northern Rocky Mountain Subalpine Woodland and Parkland
Non Replacement Fire,10460_21,3.1678,0.0031678,Northern Rocky Mountain Subalpine Woodland and Parkland
Non Replacement Fire,10470_10_19,7.1648,0.0071648,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Non Replacement Fire,10470_8_9,9.491,0.009491,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Non Replacement Fire,10472_10_19,0.5252,0.0005252,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves
Non Replacement Fire,10480_29,30.3852,0.0303852,Northwestern Great Plains Highland White Spruce Woodland
Non Replacement Fire,10500_16_23_28,1.5616,0.0015616,Rocky Mountain Lodgepole Pine Forest
Non Replacement Fire,10500_18,1.5796,0.0015796,Rocky Mountain Lodgepole Pine Forest
Non Replacement Fire,10510_15_16_17_22_23_24_25,82.6982,0.0826982,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10510_18_21,83.802,0.083802,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10510_27,47.9606,0.0479606,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10510_28,50.7648,0.0507648,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10510_29,85.4244,0.0854244,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10510_6,82.5956,0.0825956,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_12,24.874,0.024874,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_13,20.669,0.020669,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_15,24.5296,0.0245296,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_16_23_24,24.7144,0.0247144,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_17,24.509,0.024509,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_18,24.664,0.024664,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_21,24.467,0.024467,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_25,25.221,0.025221,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_27,23.1012,0.0231012,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10520_28,13.4216,0.0134216,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Non Replacement Fire,10530_10_19,75.531,0.075531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
Non Replacement Fire,10531_1_7_8_9,67.7894,0.0677894,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic
Non Replacement Fire,10532_7_9,17.4144,0.0174144,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric
Non Replacement Fire,10540_13_14,62.6374,0.0626374,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_15_25,105.9008,0.1059008,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_16_23_24,55.1132,0.0551132,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_17,63.1726,0.0631726,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_20,67.2266,0.0672266,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_22,72.9198,0.0729198,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_26,96.5132,0.0965132,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_28,47.6622,0.0476622,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_29,53.528,0.053528,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10540_33,39.1956,0.0391956,Southern Rocky Mountain Ponderosa Pine Woodland
Non Replacement Fire,10541_27,88.724,0.088724,Southern Rocky Mountain Ponderosa Pine Woodland - South
Non Replacement Fire,10542_27,38.3646,0.0383646,Southern Rocky Mountain Ponderosa Pine Woodland - North
Non Replacement Fire,10550_1_8_9,4.016,0.004016,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_10_19,2.3984,0.0023984,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_15_28,2.2802,0.0022802,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_16_23_24,0.1428,0.0001428,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_17,0.0646,6.46E-05,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_18,1.3922,0.0013922,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_20,2.6272,0.0026272,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10550_27,2.2512,0.0022512,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_1_7_8_9,2.381,0.002381,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_15_28,2.2778,0.0022778,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_16_23,0.1414,0.0001414,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_18,1.4434,0.0014434,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_20,0.3392,0.0003392,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_21_22,1.123,0.001123,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10560_29,0.9542,0.0009542,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Non Replacement Fire,10570_12_16,4.9564,0.0049564,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
Non Replacement Fire,10570_18,5.0722,0.0050722,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
Non Replacement Fire,10570_23,5.1218,0.0051218,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
Non Replacement Fire,10570_28,4.8456,0.0048456,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
Non Replacement Fire,10570_29,0.9686,0.0009686,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
Non Replacement Fire,10580_12,21.7588,0.0217588,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
Non Replacement Fire,10580_4,16.3748,0.0163748,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
Non Replacement Fire,10580_7,1.5506,0.0015506,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
Non Replacement Fire,10581_6,21.3414,0.0213414,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet
Non Replacement Fire,10582_6,35.0256,0.0350256,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Dry
Non Replacement Fire,10590_24_28,5.636,0.005636,Southern Rocky Mountain Pinyon-Juniper Woodland
Non Replacement Fire,10590_25,13.0958,0.0130958,Southern Rocky Mountain Pinyon-Juniper Woodland
Non Replacement Fire,10590_26,60.609,0.060609,Southern Rocky Mountain Pinyon-Juniper Woodland
Non Replacement Fire,10590_27_33,4.1722,0.0041722,Southern Rocky Mountain Pinyon-Juniper Woodland
Non Replacement Fire,10600_1_2_7,32.8958,0.0328958,East Cascades Oak-Ponderosa Pine Forest and Woodland
Non Replacement Fire,10610_13,17.914,0.017914,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10610_15_25,58.1508,0.0581508,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10610_18,22.105,0.022105,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10610_20_29,9.8846,0.0098846,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10610_22_27_28,21.9656,0.0219656,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10610_6,21.2802,0.0212802,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10610_8_9_17,22.3512,0.0223512,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Non Replacement Fire,10611_16_23_24,74.7394,0.0747394,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation
Non Replacement Fire,10612_16_23,16.5632,0.0165632,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation
Non Replacement Fire,10620_10_19_21_29_31,11.1524,0.0111524,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Non Replacement Fire,10620_13,11.0366,0.0110366,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Non Replacement Fire,10620_16_23,11.4994,0.0114994,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Non Replacement Fire,10620_22_28,12.7562,0.0127562,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Non Replacement Fire,10620_6_12_17_18,10.8182,0.0108182,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Non Replacement Fire,10620_7_9,8.8368,0.0088368,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Non Replacement Fire,10630_1,1.1146,0.0011146,North Pacific Broadleaf Landslide Forest and Shrubland
Non Replacement Fire,10630_2_7,1.9992,0.0019992,North Pacific Broadleaf Landslide Forest and Shrubland
Non Replacement Fire,10640_15_16_17_23_24_27_28,8.496,0.008496,Colorado Plateau Mixed Low Sagebrush Shrubland
Non Replacement Fire,10750_25,1.2232,0.0012232,Chihuahuan Mixed Salt Desert Scrub
Non Replacement Fire,10780_16_23_24_25,6.2484,0.0062484,Colorado Plateau Blackbrush-Mormon-tea Shrubland
Non Replacement Fire,10790_13,1.3796,0.0013796,Great Basin Xeric Mixed Sagebrush Shrubland
Non Replacement Fire,10790_6_9_10_12_16_17_18,1.2132,0.0012132,Great Basin Xeric Mixed Sagebrush Shrubland
Non Replacement Fire,10860_13_16_17_18_21_23,36.162,0.036162,Rocky Mountain Lower Montane-Foothill Shrubland
Non Replacement Fire,10860_25,4.9606,0.0049606,Rocky Mountain Lower Montane-Foothill Shrubland
Non Replacement Fire,10860_28,4.8296,0.0048296,Rocky Mountain Lower Montane-Foothill Shrubland
Non Replacement Fire,10950_14,25.154,0.025154,Apacherian-Chihuahuan Mesquite Upland Scrub
Non Replacement Fire,10950_15,7.1028,0.0071028,Apacherian-Chihuahuan Mesquite Upland Scrub
Non Replacement Fire,10950_25,20.6234,0.0206234,Apacherian-Chihuahuan Mesquite Upland Scrub
Non Replacement Fire,10950_26_35,35.2134,0.0352134,Apacherian-Chihuahuan Mesquite Upland Scrub
Non Replacement Fire,10950_27,35.6936,0.0356936,Apacherian-Chihuahuan Mesquite Upland Scrub
Non Replacement Fire,10980_3,18.1082,0.0181082,California Montane Woodland and Chaparral
Non Replacement Fire,10980_4,8.2252,0.0082252,California Montane Woodland and Chaparral
Non Replacement Fire,10980_6,18.4764,0.0184764,California Montane Woodland and Chaparral
Non Replacement Fire,10980_7,9.4058,0.0094058,California Montane Woodland and Chaparral
Non Replacement Fire,11000_15,1.2926,0.0012926,Chihuahuan Mixed Desert and Thorn Scrub
Non Replacement Fire,11010_25,35.8242,0.0358242,Madrean Oriental Chaparral
Non Replacement Fire,11010_26,35.7408,0.0357408,Madrean Oriental Chaparral
Non Replacement Fire,11020_13_15_16_23_24,12.4518,0.0124518,Colorado Plateau Pinyon-Juniper Shrubland
Non Replacement Fire,11020_28,5.7224,0.0057224,Colorado Plateau Pinyon-Juniper Shrubland
Non Replacement Fire,11040_15,0.5036,0.0005036,Mogollon Chaparral
Non Replacement Fire,11040_23_24,2.6806,0.0026806,Mogollon Chaparral
Non Replacement Fire,11060_10_19,2.3072,0.0023072,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
Non Replacement Fire,11060_18,12.8296,0.0128296,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
Non Replacement Fire,11060_22,2.601,0.002601,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
Non Replacement Fire,11070_13,19.4514,0.0194514,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Non Replacement Fire,11070_15,5.8584,0.0058584,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Non Replacement Fire,11070_17,19.3114,0.0193114,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Non Replacement Fire,11070_23_24,6.6132,0.0066132,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Non Replacement Fire,11070_25_28,5.9182,0.0059182,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Non Replacement Fire,11071_16,6.18,0.00618,Rocky Mountain Gambel Oak-Mixed Montane Shrubland  - Continuous
Non Replacement Fire,11072_16,19.1664,0.0191664,Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy
Non Replacement Fire,11110_26,65.2962,0.0652962,Western Great Plains Mesquite Woodland and Shrubland
Non Replacement Fire,11110_27_33,41.206,0.041206,Western Great Plains Mesquite Woodland and Shrubland
Non Replacement Fire,11110_32_35,67,0.067,Western Great Plains Mesquite Woodland and Shrubland
Non Replacement Fire,11110_34,65.0368,0.0650368,Western Great Plains Mesquite Woodland and Shrubland
Non Replacement Fire,11120_4_5,82.224,0.082224,California Central Valley Mixed Oak Savanna
Non Replacement Fire,11130_3,69.4996,0.0694996,California Coastal Live Oak Woodland and Savanna
Non Replacement Fire,11130_4,70.1798,0.0701798,California Coastal Live Oak Woodland and Savanna
Non Replacement Fire,11140_3_6_7,102.3376,0.1023376,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
Non Replacement Fire,11140_4_5,78.7584,0.0787584,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
Non Replacement Fire,11150_10_19,4.1376,0.0041376,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11150_13,4.1232,0.0041232,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11150_14,4.1198,0.0041198,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11150_15_16_23_24,12.4066,0.0124066,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11150_17,4.1044,0.0041044,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11150_21_22,12.6456,0.0126456,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11150_28,5.937,0.005937,Inter-Mountain Basins Juniper Savanna
Non Replacement Fire,11160_15_25,14.2738,0.0142738,Madrean Juniper Savanna
Non Replacement Fire,11160_24,14.7478,0.0147478,Madrean Juniper Savanna
Non Replacement Fire,11160_26,59.2952,0.0592952,Madrean Juniper Savanna
Non Replacement Fire,11170_13_15_28,89.55,0.08955,Southern Rocky Mountain Ponderosa Pine Savanna
Non Replacement Fire,11170_16_23_24,118.3966,0.1183966,Southern Rocky Mountain Ponderosa Pine Savanna
Non Replacement Fire,11170_20,70.331,0.070331,Southern Rocky Mountain Ponderosa Pine Savanna
Non Replacement Fire,11170_29,65.8824,0.0658824,Southern Rocky Mountain Ponderosa Pine Savanna
Non Replacement Fire,11170_33,51.5342,0.0515342,Southern Rocky Mountain Ponderosa Pine Savanna
Non Replacement Fire,11171_27,82.8902,0.0828902,Southern Rocky Mountain Ponderosa Pine Savanna - South
Non Replacement Fire,11172_27,50.2972,0.0502972,Southern Rocky Mountain Ponderosa Pine Savanna - North
Non Replacement Fire,11180_4,55.766,0.055766,Southern California Oak Woodland and Savanna
Non Replacement Fire,11190_24_25,35.7064,0.0357064,Southern Rocky Mountain Juniper Woodland and Savanna
Non Replacement Fire,11190_26,59.5278,0.0595278,Southern Rocky Mountain Juniper Woodland and Savanna
Non Replacement Fire,11190_27,35.1096,0.0351096,Southern Rocky Mountain Juniper Woodland and Savanna
Non Replacement Fire,11190_28,35.4264,0.0354264,Southern Rocky Mountain Juniper Woodland and Savanna
Non Replacement Fire,11190_34,14.3522,0.0143522,Southern Rocky Mountain Juniper Woodland and Savanna
Non Replacement Fire,11200_1_2_7,98.438,0.098438,Willamette Valley Upland Prairie and Savanna
Non Replacement Fire,11210_14,25.4084,0.0254084,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Non Replacement Fire,11210_15,25.0022,0.0250022,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Non Replacement Fire,11210_24,23.3116,0.0233116,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Non Replacement Fire,11210_25,12.4522,0.0124522,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Non Replacement Fire,11210_26,26.6662,0.0266662,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Non Replacement Fire,11320_31_38,6.1982,0.0061982,Central Mixedgrass Prairie
Non Replacement Fire,11320_32_34_35,71.4166,0.0714166,Central Mixedgrass Prairie
Non Replacement Fire,11340_8_9,62.4246,0.0624246,Columbia Basin Foothill and Canyon Dry Grassland
Non Replacement Fire,11350_15_28,27.0324,0.0270324,Inter-Mountain Basins Semi-Desert Grassland
Non Replacement Fire,11350_25,0.977,0.000977,Inter-Mountain Basins Semi-Desert Grassland
Non Replacement Fire,11370_3_6,6.1764,0.0061764,Mediterranean California Subalpine Meadow
Non Replacement Fire,11390_8_9,5.4252,0.0054252,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
Non Replacement Fire,11400_9,0.6932,0.0006932,Northern Rocky Mountain Subalpine-Upper Montane Grassland
Non Replacement Fire,11420_8,15.6906,0.0156906,Columbia Basin Palouse Prairie
Non Replacement Fire,11450_13,6.2668,0.0062668,Rocky Mountain Subalpine-Montane Mesic Meadow
Non Replacement Fire,11450_16,6.2162,0.0062162,Rocky Mountain Subalpine-Montane Mesic Meadow
Non Replacement Fire,11450_22_24_28,6.1454,0.0061454,Rocky Mountain Subalpine-Montane Mesic Meadow
Non Replacement Fire,11450_9_10_19,6.1518,0.0061518,Rocky Mountain Subalpine-Montane Mesic Meadow
Non Replacement Fire,11460_15_16_23_24_25_28,48.3686,0.0483686,Southern Rocky Mountain Montane-Subalpine Grassland
Non Replacement Fire,11470_28,12.6228,0.0126228,Western Great Plains Foothill and Piedmont Grassland
Non Replacement Fire,11480_31_38,166.8042,0.1668042,Western Great Plains Sand Prairie
Non Replacement Fire,11480_32,9.871,0.009871,Western Great Plains Sand Prairie
Non Replacement Fire,11490_28,16.765,0.016765,Western Great Plains Shortgrass Prairie
Non Replacement Fire,11500_31_39_40,4.0696,0.0040696,Western Great Plains Tallgrass Prairie
Non Replacement Fire,11500_38,2.9708,0.0029708,Western Great Plains Tallgrass Prairie
Non Replacement Fire,11520_2_3_7,12.6326,0.0126326,California Montane Riparian Systems
Non Replacement Fire,11520_4_5,13.3578,0.0133578,California Montane Riparian Systems
Non Replacement Fire,11520_6,10.5248,0.0105248,California Montane Riparian Systems
Non Replacement Fire,11550_13_14,42.5516,0.0425516,North American Warm Desert Riparian Systems
Non Replacement Fire,11550_15,11.958,0.011958,North American Warm Desert Riparian Systems
Non Replacement Fire,11550_4,43.4146,0.0434146,North American Warm Desert Riparian Systems
Non Replacement Fire,11581_1_2_7,0.6174,0.0006174,North Pacific Montane Riparian Woodland and Shrubland - Wet
Non Replacement Fire,11582_1_2_7,4.2682,0.0042682,North Pacific Montane Riparian Woodland and Shrubland - Dry
Non Replacement Fire,11590_10_19,9.913,0.009913,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_15,132.7698,0.1327698,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_16_23_24_26,12.9418,0.0129418,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_20,8.772,0.008772,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_22,12.5202,0.0125202,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_25,12.5416,0.0125416,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_27_33,12.5538,0.0125538,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_28,12.4332,0.0124332,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_29,8.598,0.008598,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11590_8_9,9.9162,0.0099162,Rocky Mountain Montane Riparian Systems
Non Replacement Fire,11600_10_19,7.415,0.007415,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_12_17,12.4044,0.0124044,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_15_28,12.6064,0.0126064,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_16,12.3,0.0123,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_18,8.8564,0.0088564,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_20_29,3.3192,0.0033192,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_21,0.3652,0.0003652,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_23,12.8652,0.0128652,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11600_8_9,7.5112,0.0075112,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Non Replacement Fire,11620_20,8.2618,0.0082618,Western Great Plains Floodplain Systems
Non Replacement Fire,11620_22,7.8638,0.0078638,Western Great Plains Floodplain Systems
Non Replacement Fire,11620_27_33,37.4986,0.0374986,Western Great Plains Floodplain Systems
Non Replacement Fire,11620_29_30,10.6544,0.0106544,Western Great Plains Floodplain Systems
Non Replacement Fire,11620_31_39_40,15.5708,0.0155708,Western Great Plains Floodplain Systems
Non Replacement Fire,11620_32_35,69.0628,0.0690628,Western Great Plains Floodplain Systems
Non Replacement Fire,11620_38,15.7182,0.0157182,Western Great Plains Floodplain Systems
Non Replacement Fire,11630_3_4_5,28.8726,0.0288726,Pacific Coastal Marsh Systems
Non Replacement Fire,11650_1_7_8,10.4044,0.0104044,Northern Rocky Mountain Foothill Conifer Wooded Steppe
Non Replacement Fire,11650_9,50.0884,0.0500884,Northern Rocky Mountain Foothill Conifer Wooded Steppe
Non Replacement Fire,11660_21,21.825,0.021825,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Non Replacement Fire,11660_22,25.9882,0.0259882,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Non Replacement Fire,11660_29,49.4022,0.0494022,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Non Replacement Fire,11660_9_10_19,27.5772,0.0275772,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Non Replacement Fire,11662_19,49.9284,0.0499284,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna
Non Replacement Fire,11670_1_7_9,8.9638,0.0089638,Rocky Mountain Poor-Site Lodgepole Pine Forest
Non Replacement Fire,11670_10_19,0.42,0.00042,Rocky Mountain Poor-Site Lodgepole Pine Forest
Non Replacement Fire,11670_21,1.822,0.001822,Rocky Mountain Poor-Site Lodgepole Pine Forest
Non Replacement Fire,11700_2_3_7,71.3584,0.0713584,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral
Non Replacement Fire,11720_7,37.5924,0.0375924,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
Non Replacement Fire,11740_1_7,3.268,0.003268,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
Non Replacement Fire,11770_3,23.5576,0.0235576,California Coastal Closed-Cone Conifer Forest and Woodland
Non Replacement Fire,11770_4,2.8954,0.0028954,California Coastal Closed-Cone Conifer Forest and Woodland
Non Replacement Fire,11790_31,68.3818,0.0683818,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
Non Replacement Fire,11791_29_30,54.4044,0.0544044,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland
Non Replacement Fire,11792_29_30,64.1948,0.0641948,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna
