"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"59","13770_60_61_63_64_65_66_UN","13770_60_61_63_64_65_66","UN",0,"Central Appalachian Pine-Oak Rocky Woodland",1952,6,7356,13770,64,45171,16
"60","13770_60_61_63_64_65_66_UE","13770_60_61_63_64_65_66","UE",0,"Central Appalachian Pine-Oak Rocky Woodland",1952,7,423,13770,64,45171,0
"61","14710_64_65_A","14710_64_65","A",9,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"62","14710_64_65_B","14710_64_65","B",25,"Central Interior and Appalachian Floodplain Systems",1956,2,2,14710,64,124,1
"63","14710_64_65_C","14710_64_65","C",6,"Central Interior and Appalachian Floodplain Systems",1956,3,81,14710,64,124,65
"64","14710_64_65_D","14710_64_65","D",13,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"65","14710_64_65_E","14710_64_65","E",47,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"66","14710_64_65_Agriculture","14710_64_65","Agriculture",0,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"67","14710_64_65_Developed","14710_64_65","Developed",0,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"68","14710_64_65_Water","14710_64_65","Water",0,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"69","14710_64_65_UN","14710_64_65","UN",0,"Central Interior and Appalachian Floodplain Systems",1956,6,8,14710,64,124,6
"70","14710_64_65_UE","14710_64_65","UE",0,"Central Interior and Appalachian Floodplain Systems",1956,7,33,14710,64,124,26
"71","14720_64_65_66_A","14720_64_65_66","A",16,"Central Interior and Appalachian Riparian Systems",1957,1,63,14720,64,3976,1
"72","14720_64_65_66_B","14720_64_65_66","B",22,"Central Interior and Appalachian Riparian Systems",1957,2,3091,14720,64,3976,77
"73","14720_64_65_66_C","14720_64_65_66","C",13,"Central Interior and Appalachian Riparian Systems",1957,3,695,14720,64,3976,17
"74","14720_64_65_66_D","14720_64_65_66","D",40,"Central Interior and Appalachian Riparian Systems",NA,NA,NA,NA,NA,NA,NA
"75","14720_64_65_66_E","14720_64_65_66","E",9,"Central Interior and Appalachian Riparian Systems",1957,5,14,14720,64,3976,0
"76","14720_64_65_66_Agriculture","14720_64_65_66","Agriculture",0,"Central Interior and Appalachian Riparian Systems",1957,180,6,14720,64,3976,0
"77","14720_64_65_66_Developed","14720_64_65_66","Developed",0,"Central Interior and Appalachian Riparian Systems",1957,120,58,14720,64,3976,1
"78","14720_64_65_66_Water","14720_64_65_66","Water",0,"Central Interior and Appalachian Riparian Systems",NA,NA,NA,NA,NA,NA,NA
"79","14720_64_65_66_UN","14720_64_65_66","UN",0,"Central Interior and Appalachian Riparian Systems",NA,NA,NA,NA,NA,NA,NA
"80","14720_64_65_66_UE","14720_64_65_66","UE",0,"Central Interior and Appalachian Riparian Systems",1957,7,49,14720,64,3976,1
"81","14750_41_50_51_63_64_65_66_A","14750_41_50_51_63_64_65_66","A",16,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"82","14750_41_50_51_63_64_65_66_B","14750_41_50_51_63_64_65_66","B",23,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"83","14750_41_50_51_63_64_65_66_C","14750_41_50_51_63_64_65_66","C",44,"Laurentian-Acadian Floodplain Systems",1958,3,1,14750,64,1,100
"84","14750_41_50_51_63_64_65_66_D","14750_41_50_51_63_64_65_66","D",17,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"85","14750_41_50_51_63_64_65_66_E","14750_41_50_51_63_64_65_66","E",NA,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"86","14750_41_50_51_63_64_65_66_Agriculture","14750_41_50_51_63_64_65_66","Agriculture",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"87","14750_41_50_51_63_64_65_66_Developed","14750_41_50_51_63_64_65_66","Developed",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"88","14750_41_50_51_63_64_65_66_Water","14750_41_50_51_63_64_65_66","Water",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"89","14750_41_50_51_63_64_65_66_UN","14750_41_50_51_63_64_65_66","UN",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"90","14750_41_50_51_63_64_65_66_UE","14750_41_50_51_63_64_65_66","UE",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
